Folder,x_coordinates,Gamma_pv,Density,Temperature,Pressure,Mach,Speed,c,dens0,norm_density,norm_temperature,norm_pressure,norm_dens_grad,norm_p_grad,norm_T_grad,beta,alfa,mean_gamma_pv
BOS_12_11_2,0.05461314695190381,0.944170638377321,13.805438503439206,464.92720021304353,299972.1962344435,1.6373345423154597,234.5190185236535,143.2321938264401,75.20055456459959,0.18741497585503183,0.9439505522059232,0.25209566523246885,-17.61391672182606,-22.347782460626203,-2.692820522046727,9.107132999353238,12.561532827581704,0.8316923258036716
BOS_12_11_2,0.05476405749498997,0.9452835991329532,13.61332302112118,464.7283529921183,296027.0061885976,1.6442733400850462,235.74292532606881,143.3721021797237,75.20055456459959,0.18480692262506448,0.9435468289049181,0.2487801402552848,-17.282114136175874,-21.970134818817765,-2.675249142629081,9.107132999353238,12.561532827581704,0.8316923258036716
BOS_12_11_2,0.05491496803807615,0.9463668783236785,13.426438161926713,464.53251178312524,292181.84105547296,1.6511022912769746,236.94630947515995,143.50795267318293,75.20055456459959,0.18226987743342665,0.9431492087672085,0.24554867589181376,-16.811583470275174,-21.413112015810043,-2.6348068834565335,9.107132999353238,12.561532827581704,0.8316923258036716
BOS_12_11_2,0.055065878581162325,0.9474029075753535,13.24780483513078,464.3430365572627,288499.64649993106,1.6577046561702193,238.1086626853662,143.63756643808105,75.20055456459959,0.17984485046887036,0.942764513606331,0.24245417147558038,-16.06930115658967,-20.505554833675657,-2.5491602707829473,9.107132999353238,12.561532827581704,0.8316923258036716
BOS_12_11_2,0.05521678912424849,0.9484071207767788,13.07475183596049,464.15729675868613,284926.14292353473,1.664172524918792,239.2462685359589,143.76290015221446,75.20055456459959,0.17749557893699824,0.9423874025546382,0.2394510106073039,-15.567312156121469,-19.900272087430075,-2.498904609186446,9.107132999353238,12.561532827581704,0.8316923258036716
BOS_12_11_2,0.055367699667334666,0.9493863081639429,12.906102235867936,463.97416085220476,281437.57381662057,1.6705455770144846,240.3661456751498,143.88481762031307,75.20055456459959,0.17520608550863428,0.9420155782346745,0.23651922839296285,-15.171196004884418,-19.4272855586164,-2.46387238664513,9.107132999353238,12.561532827581704,0.8316923258036716
BOS_12_11_2,0.05551861021042084,0.9503414344166501,12.741684240707839,463.7935506540431,278030.84601927706,1.6768267578156635,241.46884197657891,144.0034522654749,75.20055456459959,0.17297403800174882,0.9416488819084311,0.2336562253509541,-14.790533923205555,-18.97152434455046,-2.429892032354264,9.107132999353238,12.561532827581704,0.8316923258036716
BOS_12_11_2,0.05566952075350701,0.9512604824009228,12.58355942889548,463.6178767340831,274749.2181427929,1.6829325232679988,242.5397421403611,144.11733018825132,75.20055456459959,0.17082742326144107,0.9412922078018647,0.23089835587854096,-14.224418628472604,-18.27486281616859,-2.36348037236053,9.107132999353238,12.561532827581704,0.8316923258036716
BOS_12_11_2,0.055820431296593184,0.9521424575082772,12.43189022652972,463.44750823937244,271596.69401861646,1.6888504059848768,243.5767349371926,144.22635307071346,75.20055456459959,0.1687684462943386,0.9409463054012589,0.22824898478274602,-13.643691984639432,-17.55590458833622,-2.29210228478375,9.107132999353238,12.561532827581704,0.8316923258036716
BOS_12_11_2,0.05597134183967936,0.9530042531522143,12.283765069924739,463.2793133589111,268513.2352777125,1.6946894552763632,244.5989815256379,144.33262729291584,75.20055456459959,0.16675758132675864,0.9406048161310744,0.22565765601207047,-13.324880597849685,-17.171290472368028,-2.26285893086677,9.107132999353238,12.561532827581704,0.8316923258036716
